,ncratio,nspeed
665,-0.33345043968910465,-0.847709899235918
669,-0.3386940018000604,-0.8973494147134166
673,-0.3557355786606667,-0.7327552318143423
674,-0.30264451228723943,-0.6256383826260559
677,-0.35376924286905825,-0.8450972931581548
678,-0.2800316506837427,-0.44014335110487696
681,-0.35245835234131934,-0.7771695351363147
682,-0.2987118407040226,-0.5838366853818465
685,-0.3534415202371235,-0.7614938986697362
689,-0.3560633012926014,-0.7797821412140777
690,-0.2862583806905027,-0.4688820179602709
693,-0.35639102392453614,-0.6805031102590806
694,-0.3101821328217384,-0.9861780213573613
697,-0.35639102392453614,-0.6726652920257914
698,-0.31640886282849834,-0.7902325655251301
701,-0.3544246881329277,-0.9182502633355212
705,-0.3200138117797805,-0.8529351113914442
709,-0.3324672717933004,-0.7902325655251301
713,-0.3239464833629973,-0.7405930500476315
714,0.043430587035841364,1.3338161756962565
717,-0.3157534175646289,-0.6831157163368438
718,0.26628197675146165,2.1175979990251816
721,-0.3432821186471467,-0.9313132937243366
725,-0.34262667338327724,-0.9234754754910474
729,-0.33377816232103935,-0.8868989904023642
733,-0.33902172443199513,-0.8999620207911796
737,-0.3554078560287319,-0.7014039588811853
738,-0.3052662933427173,-0.6230257765482928
741,-0.3518029070774498,-0.8921242025578904
745,-0.3544246881329277,-0.816358626302761
746,-0.27511581120472167,-0.32257607760553825
749,-0.35508013339679717,-0.7667191108252623
753,-0.35639102392453614,-0.6387014130148713
754,-0.29412372385693636,-0.5080711091267172
757,-0.35639102392453614,-0.6387014130148713
758,-0.29543461438467533,-0.534197169904348
761,-0.35639102392453614,-0.6543770494814498
765,-0.35114746181358036,-0.8398720810026287
769,-0.31837519862010677,-0.8294216566915764
773,-0.3229633154671931,-0.816358626302761
777,-0.3223078702033236,-1.0932948705456478
778,-0.08962480152966128,0.6022864739225933
781,-0.3177197533562373,-0.8032955959139455
782,-0.12141389682733066,0.5735478070671993
785,-0.34459300917488567,-0.9652771727352567
786,-0.2636455190870059,-0.3016752289834336
789,-0.3436098412790814,-0.8868989904023642
793,-0.34295439601521194,-0.9208628694132843
797,-0.3452484544387551,-0.9156376572577581
801,-0.35508013339679717,-0.847709899235918
802,-0.29051877490565425,-0.5159089273600064
805,-0.3531137976051888,-0.8738359600135488
806,-0.28330887700309004,-0.4505937754159293
809,-0.3534415202371235,-0.9156376572577581
810,-0.24725938749026913,-0.2337474709615934
813,-0.35639102392453614,-0.7118543831922376
814,-0.2993672859678921,-0.6465392312481606
817,-0.3557355786606667,-0.7641065047474993
818,-0.27806531489213426,-0.3748281991607999
821,-0.35639102392453614,-0.6517644434036867
822,-0.3128039138772163,-0.7275300196588161
825,-0.35639102392453614,-0.5916745036151358
826,-0.31903064388397623,-0.7797821412140777
829,-0.35639102392453614,-0.6569896555592128
830,-0.29609005964854473,-0.5550980185264527
833,-0.3177197533562373,-0.7379804439698685
834,-0.08077629046742342,0.7015655048775904
837,-0.313131636509151,-0.6857283224146068
841,-0.31903064388397623,-0.7562686865142101
842,-0.10273370680705071,0.6362503529335133
845,-0.31903064388397623,-0.7797821412140777
846,-0.07258322466905504,0.6780520501777226
849,-0.33771083390425616,-0.8973494147134166
850,-0.19384059848490723,0.1685938650139214
853,-0.3341058849529741,-0.8659981417802596
857,-0.34000489232779935,-0.9182502633355212
861,-0.3442652865429509,-0.9156376572577581
865,-0.35376924286905825,-0.8555477174692072
869,-0.35245835234131934,-0.8529351113914442
870,-0.268561358566027,-0.33563910799435365
873,-0.3531137976051888,-0.881673778246838
874,-0.27609897910052583,-0.39834165386066767
877,-0.3547524107648624,-0.8555477174692072
881,-0.3560633012926014,-0.7432056561253946
882,-0.2964177822804795,-0.5812240793040835
885,-0.3560633012926014,-0.690953534570133
886,-0.3059217386065868,-0.7040165649589484
889,-0.35639102392453614,-0.6230257765482928
890,-0.31444252703688996,-0.7379804439698685
893,-0.35639102392453614,-0.6831157163368438
894,-0.3059217386065868,-0.6752778981035544
897,-0.3065771838704563,-0.6413140190926344
898,0.04670781335518877,1.3076901149186257
901,-0.29969500859982684,-0.5603232306819788
902,-0.018836713031758365,1.1770598110304715
905,-0.2987118407040226,-0.5655484428375049
906,0.06964839759062023,1.5950767834725648
909,-0.3010058991275658,-0.5942871096928989
910,0.11552956606148325,1.6995810265830882
913,-0.33639994337651724,-0.9182502633355212
